id,alias,name,image_url,is_closed,url,review_count,categories,rating,transactions,price,phone,display_phone,distance,parent_categories,coordinates.latitude,coordinates.longitude,location.address1,location.address2,location.address3,location.city,location.zip_code,location.country,location.state,location.display_address
wGMYuudkhx7JyxojQuQOCQ,brandons-diner-moreno-valley,Brandon's Diner,https://s3-media2.fl.yelpcdn.com/bphoto/ULc9P_uBBRnXFjyRLO9RBw/o.jpg,False,https://www.yelp.com/biz/brandons-diner-moreno-valley?adjust_creative=MmLrhxyBCAYTo9x73GGJtA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MmLrhxyBCAYTo9x73GGJtA,403,diners,3.0,"['pickup', 'delivery']",$$,+19514851240,(951) 485-1240,4630.549098993068,,33.9393675956583,-117.23276318965,24626 Sunnymead Blvd,,,Moreno Valley,92553,US,CA,"['24626 Sunnymead Blvd', 'Moreno Valley, CA 92553']"
YaHF0nBzYfW1HZ3960VzIg,la-barbachita-moreno-valley,La barbaCHita,https://s3-media2.fl.yelpcdn.com/bphoto/uvGU8edwhvjJ7J-IhGdFmQ/o.jpg,False,https://www.yelp.com/biz/la-barbachita-moreno-valley?adjust_creative=MmLrhxyBCAYTo9x73GGJtA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MmLrhxyBCAYTo9x73GGJtA,144,mexican,4.0,[],$,+19515630000,(951) 563-0000,6282.467265777276,,33.917603,-117.262766,22920 Alessandro Blvd,,,Moreno Valley,92553,US,CA,"['22920 Alessandro Blvd', 'Moreno Valley, CA 92553']"
oqKOFyiwBY9shEUHk9iOfg,bluewater-poke-redlands,Bluewater Poke,https://s3-media1.fl.yelpcdn.com/bphoto/Uk9TTpsZHz8V9wizheafPA/o.jpg,False,https://www.yelp.com/biz/bluewater-poke-redlands?adjust_creative=MmLrhxyBCAYTo9x73GGJtA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MmLrhxyBCAYTo9x73GGJtA,184,"poke, bubbletea, hawaiian",4.5,['delivery'],$$,,,10507.860502905727,,34.06257,-117.22088,1981 W Redlands Blvd,Ste A-1,,Redlands,92373,US,CA,"['1981 W Redlands Blvd', 'Ste A-1', 'Redlands, CA 92373']"
d8SiGXxE2FvF1a5QqeztZg,the-original-mommie-helens-bakery-san-bernardino,The Original Mommie Helen's Bakery,https://s3-media2.fl.yelpcdn.com/bphoto/qBaXK1m0hN-PNDgX4BThXQ/o.jpg,False,https://www.yelp.com/biz/the-original-mommie-helens-bakery-san-bernardino?adjust_creative=MmLrhxyBCAYTo9x73GGJtA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MmLrhxyBCAYTo9x73GGJtA,245,"desserts, cupcakes, bakeries",4.5,"['pickup', 'delivery']",$$,+19093847052,(909) 384-7052,11504.816114737772,,34.0738900463254,-117.2942142861,1440 S E St,Ste C,,San Bernardino,92408,US,CA,"['1440 S E St', 'Ste C', 'San Bernardino, CA 92408']"
oSzWFlqqfO5I5F9WAtfr6g,olive-garden-italian-restaurant-moreno-valley-3,Olive Garden Italian Restaurant,https://s3-media2.fl.yelpcdn.com/bphoto/txxPotAWnMcfkDkEdxNDrg/o.jpg,False,https://www.yelp.com/biz/olive-garden-italian-restaurant-moreno-valley-3?adjust_creative=MmLrhxyBCAYTo9x73GGJtA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MmLrhxyBCAYTo9x73GGJtA,429,"italian, soup, salad",3.0,[],$$,+19516563531,(951) 656-3531,3830.2335196520644,,33.93971739059519,-117.26354336165676,22880 Centerpoint Dr,,,Moreno Valley,92553,US,CA,"['22880 Centerpoint Dr', 'Moreno Valley, CA 92553']"
VFyzTQrQhbu3YN63fI6chw,skechers-cafe-moreno-valley,Skechers Cafe,https://s3-media4.fl.yelpcdn.com/bphoto/liFsL1Bx3IpdyGDC3wFYYA/o.jpg,False,https://www.yelp.com/biz/skechers-cafe-moreno-valley?adjust_creative=MmLrhxyBCAYTo9x73GGJtA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MmLrhxyBCAYTo9x73GGJtA,146,cafes,5.0,[],$,+19512422204,(951) 242-2204,11674.512092112953,,33.9368435947025,-117.142161288164,29800 Eucalyptus Ave,,,Moreno Valley,92555,US,CA,"['29800 Eucalyptus Ave', 'Moreno Valley, CA 92555']"
RAmHQ1bJMZ6YMzqzK7r9Zg,baguette-bakery-and-cafe-riverside,Baguette Bakery & Cafe,https://s3-media2.fl.yelpcdn.com/bphoto/kgbio-hXhyOEGjtJD009pw/o.jpg,False,https://www.yelp.com/biz/baguette-bakery-and-cafe-riverside?adjust_creative=MmLrhxyBCAYTo9x73GGJtA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MmLrhxyBCAYTo9x73GGJtA,146,"cafes, bakeries",4.0,"['delivery', 'pickup']",$,+19517885300,(951) 788-5300,6240.273689427349,,33.983632,-117.327555,767 W Blaine St,Ste B,,Riverside,92507,US,CA,"['767 W Blaine St', 'Ste B', 'Riverside, CA 92507']"
yNmBIe9LPplr_11DbrV3EA,the-fat-greek-yucaipa,The Fat Greek,https://s3-media1.fl.yelpcdn.com/bphoto/mQ_I_CjRuDh0USWwidDFpQ/o.jpg,False,https://www.yelp.com/biz/the-fat-greek-yucaipa?adjust_creative=MmLrhxyBCAYTo9x73GGJtA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MmLrhxyBCAYTo9x73GGJtA,922,"mexican, tradamerican, greek",4.5,"['delivery', 'pickup']",$$,+19097976018,(909) 797-6018,18024.097972953015,,34.0334193,-117.0785598,33265 Yucaipa Blvd,,,Yucaipa,92399,US,CA,"['33265 Yucaipa Blvd', 'Yucaipa, CA 92399']"
M4ykNtJ5HyWeNUVIQ7mfTw,ramen-okawari-riverside,Ramen Okawari,https://s3-media2.fl.yelpcdn.com/bphoto/1s87Bf9ZWESKV5ezywDKrA/o.jpg,False,https://www.yelp.com/biz/ramen-okawari-riverside?adjust_creative=MmLrhxyBCAYTo9x73GGJtA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MmLrhxyBCAYTo9x73GGJtA,472,"ramen, noodles, comfortfood",3.5,"['pickup', 'delivery']",$$,+19516809411,(951) 680-9411,7291.796046991027,,33.97711,-117.3395,3740 Iowa Ave,Ste 104,,Riverside,92507,US,CA,"['3740 Iowa Ave', 'Ste 104', 'Riverside, CA 92507']"
yE1Vhd4Ao5RT2yaQGHXl5g,mariscos-el-chango-riverside-3,Mariscos El Chango,https://s3-media2.fl.yelpcdn.com/bphoto/9xhh51ksVm8rdpR2iM1l8g/o.jpg,False,https://www.yelp.com/biz/mariscos-el-chango-riverside-3?adjust_creative=MmLrhxyBCAYTo9x73GGJtA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MmLrhxyBCAYTo9x73GGJtA,139,"mexican, seafood",4.0,['delivery'],$$,+19515635720,(951) 563-5720,6659.062048815425,,33.91738,-117.28472,2646 E Alessandro Blvd,Ste B,,Riverside,92508,US,CA,"['2646 E Alessandro Blvd', 'Ste B', 'Riverside, CA 92508']"
_pd3e0XgvsrBFxHaqj-rlw,krak-boba-riverside,Krak Boba,https://s3-media1.fl.yelpcdn.com/bphoto/nyfZakMnz21kfyMKZT1GpA/o.jpg,False,https://www.yelp.com/biz/krak-boba-riverside?adjust_creative=MmLrhxyBCAYTo9x73GGJtA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MmLrhxyBCAYTo9x73GGJtA,211,"coffee, bubbletea",4.0,"['pickup', 'delivery']",$$,+19517425341,(951) 742-5341,8208.695741841148,,33.974611,-117.349367,3907 Chicago Ave,Ste B,,Riverside,92507,US,CA,"['3907 Chicago Ave', 'Ste B', 'Riverside, CA 92507']"
Q1xkfD4exQ147I_OZIrbYQ,sweet-rolled-tacos-redlands,Sweet Rolled Tacos,https://s3-media1.fl.yelpcdn.com/bphoto/SldGjo5Gg3Im481G0kStVA/o.jpg,False,https://www.yelp.com/biz/sweet-rolled-tacos-redlands?adjust_creative=MmLrhxyBCAYTo9x73GGJtA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MmLrhxyBCAYTo9x73GGJtA,123,"icecream, bubbletea, desserts",5.0,"['pickup', 'delivery']",$$,+19096740464,(909) 674-0464,11359.410926183666,,34.056985,-117.188544,501 W Redlands Blvd,Ste J,,Redlands,92373,US,CA,"['501 W Redlands Blvd', 'Ste J', 'Redlands, CA 92373']"
eJTimy8PDLPC4szHeOy-4A,clarkies-diner-yucaipa,Clarkies Diner,https://s3-media2.fl.yelpcdn.com/bphoto/0KKbqrl3mjDNWMyHH-s73Q/o.jpg,False,https://www.yelp.com/biz/clarkies-diner-yucaipa?adjust_creative=MmLrhxyBCAYTo9x73GGJtA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MmLrhxyBCAYTo9x73GGJtA,653,"sandwiches, burgers, breakfast_brunch",4.5,['delivery'],$$,+19097953500,(909) 795-3500,18604.04736996629,,34.00579,-117.06193,13661 Calimesa Blvd,,,Yucaipa,92399,US,CA,"['13661 Calimesa Blvd', 'Yucaipa, CA 92399']"
84kMztLIl3JhaE_ng23ITw,strongman-pizza-redlands,Strongman Pizza,https://s3-media3.fl.yelpcdn.com/bphoto/jGkI3cVRm6Qq-SExGUuu-A/o.jpg,False,https://www.yelp.com/biz/strongman-pizza-redlands?adjust_creative=MmLrhxyBCAYTo9x73GGJtA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MmLrhxyBCAYTo9x73GGJtA,357,pizza,4.5,['delivery'],$,+19097935696,(909) 793-5696,11928.699578969803,,34.0582522,-117.1802858,330 N 6th St,Ste 108,,Redlands,92374,US,CA,"['330 N 6th St', 'Ste 108', 'Redlands, CA 92374']"
y9nwVJv4JWyHoRCS9In3ig,mission-inn-restaurant-riverside,Mission Inn Restaurant,https://s3-media1.fl.yelpcdn.com/bphoto/x71UG55FL4UgP4dE82thfw/o.jpg,False,https://www.yelp.com/biz/mission-inn-restaurant-riverside?adjust_creative=MmLrhxyBCAYTo9x73GGJtA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MmLrhxyBCAYTo9x73GGJtA,949,"tradamerican, breakfast_brunch, comfortfood",3.5,['delivery'],$$$,+18883264448,(888) 326-4448,10424.063070994654,,33.983375,-117.373005,3649 Mission Inn Ave,,,Riverside,92501,US,CA,"['3649 Mission Inn Ave', 'Riverside, CA 92501']"
4cEDOjYCDnbLl6zYzfhcOQ,sushi-asahi-riverside,Sushi Asahi,https://s3-media3.fl.yelpcdn.com/bphoto/2E32Fj0Y_AHycWkbrLKT5Q/o.jpg,False,https://www.yelp.com/biz/sushi-asahi-riverside?adjust_creative=MmLrhxyBCAYTo9x73GGJtA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MmLrhxyBCAYTo9x73GGJtA,2718,"sushi, japanese",3.5,"['pickup', 'delivery']",$$,+19516371313,(951) 637-1313,17763.049848742023,,33.9096395453538,-117.436713825131,2955 Van Buren Blvd,Ste D-2,,Riverside,92503,US,CA,"['2955 Van Buren Blvd', 'Ste D-2', 'Riverside, CA 92503']"
DdVXvOdIzECfZF8KqvCkMg,pho-star-bowl-riverside,Pho Star Bowl,https://s3-media3.fl.yelpcdn.com/bphoto/nPgxipTqKP0xjvvDjY_ewg/o.jpg,False,https://www.yelp.com/biz/pho-star-bowl-riverside?adjust_creative=MmLrhxyBCAYTo9x73GGJtA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MmLrhxyBCAYTo9x73GGJtA,745,"sandwiches, vietnamese, salad",4.5,['delivery'],$$,+19512998130,(951) 299-8130,19251.805553264458,,33.9151992797852,-117.457183837891,10051 Magnolia Ave,Ste B1,,Riverside,92503,US,CA,"['10051 Magnolia Ave', 'Ste B1', 'Riverside, CA 92503']"
hUqzg0ZEZcQClwnYrnaM9A,bricks-and-birch-redlands-2,Bricks and Birch,https://s3-media2.fl.yelpcdn.com/bphoto/Wa93zzkg3_jXDwvRo3ymUA/o.jpg,False,https://www.yelp.com/biz/bricks-and-birch-redlands-2?adjust_creative=MmLrhxyBCAYTo9x73GGJtA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MmLrhxyBCAYTo9x73GGJtA,428,"coffee, pizza, bakeries",4.0,['delivery'],$$,+19093356787,(909) 335-6787,11514.322647048062,,34.05436,-117.18154,101 Cajon St,,,Redlands,92373,US,CA,"['101 Cajon St', 'Redlands, CA 92373']"
Qj9dig-cTjWGC75UxGGCOQ,jojos-grill-a-dog-redlands-2,JoJo's Grill-A-Dog,https://s3-media4.fl.yelpcdn.com/bphoto/ruAl424O0W4L0rZSuL4AEA/o.jpg,False,https://www.yelp.com/biz/jojos-grill-a-dog-redlands-2?adjust_creative=MmLrhxyBCAYTo9x73GGJtA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MmLrhxyBCAYTo9x73GGJtA,378,"tradamerican, hotdog",4.5,"['delivery', 'pickup']",$,+19093353555,(909) 335-3555,12584.824344558285,,34.0774008150989,-117.204795777798,27471 San Bernardino Ave,Ste 210,,Redlands,92374,US,CA,"['27471 San Bernardino Ave', 'Ste 210', 'Redlands, CA 92374']"
SV0xnSnq2jLCm3EzB3l0yg,cafe-le-reve-riverside,Cafe Le Reve,https://s3-media2.fl.yelpcdn.com/bphoto/s2Dls8jzXUQb9hLeenmsgA/o.jpg,False,https://www.yelp.com/biz/cafe-le-reve-riverside?adjust_creative=MmLrhxyBCAYTo9x73GGJtA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MmLrhxyBCAYTo9x73GGJtA,106,"french, breakfast_brunch, cafes",4.5,[],$$,+19512150007,(951) 215-0007,9235.84954987313,,33.91393275459195,-117.32957348227501,141 E Alessandro Blvd,Ste 10A,,Riverside,92508,US,CA,"['141 E Alessandro Blvd', 'Ste 10A', 'Riverside, CA 92508']"
-yI56RgpK7CDAOLGwz4MsA,rubios-coastal-grill-riverside,Rubio's Coastal Grill,https://s3-media1.fl.yelpcdn.com/bphoto/bS7BaGafv_DU9alj-g8wXw/o.jpg,False,https://www.yelp.com/biz/rubios-coastal-grill-riverside?adjust_creative=MmLrhxyBCAYTo9x73GGJtA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MmLrhxyBCAYTo9x73GGJtA,144,"mexican, salad, seafood",4.0,"['pickup', 'delivery']",$,+19516971679,(951) 697-1679,4152.234273838579,,33.94132,-117.282138859811,2694 Canyon Springs Pkwy,Ste A,,Riverside,92507,US,CA,"['2694 Canyon Springs Pkwy', 'Ste A', 'Riverside, CA 92507']"
YEaRyuM0eaP--6VtHf3vXQ,namaste-indian-kitchen-riverside,Namaste Indian Kitchen,https://s3-media1.fl.yelpcdn.com/bphoto/rINUhWfgr41lDnkiKe4Gkw/o.jpg,False,https://www.yelp.com/biz/namaste-indian-kitchen-riverside?adjust_creative=MmLrhxyBCAYTo9x73GGJtA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MmLrhxyBCAYTo9x73GGJtA,325,indpak,4.5,"['pickup', 'delivery']",$,+19512755316,(951) 275-5316,12342.175215892437,,33.960743,-117.39337887615,6061 Magnolia Ave,,,Riverside,92506,US,CA,"['6061 Magnolia Ave', 'Riverside, CA 92506']"
wy-44NfkPUpsQsbIDlxhXA,mariscos-kikas-san-bernardino,Mariscos Kikas,https://s3-media3.fl.yelpcdn.com/bphoto/a2TLYdusfjqMO0oZ1gEExg/o.jpg,False,https://www.yelp.com/biz/mariscos-kikas-san-bernardino?adjust_creative=MmLrhxyBCAYTo9x73GGJtA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MmLrhxyBCAYTo9x73GGJtA,131,"mexican, seafood",4.5,[],$$,+19093810141,(909) 381-0141,10440.158031340376,,34.06712,-117.275752,424 E Hospitality Ln,Ste B8,,San Bernardino,92408,US,CA,"['424 E Hospitality Ln', 'Ste B8', 'San Bernardino, CA 92408']"
bd8uxVK8cggKipwePqIgHQ,back-to-the-grind-riverside,Back to the Grind,https://s3-media4.fl.yelpcdn.com/bphoto/SKExjq4mQ0hNtv7b4cUqWg/o.jpg,False,https://www.yelp.com/biz/back-to-the-grind-riverside?adjust_creative=MmLrhxyBCAYTo9x73GGJtA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MmLrhxyBCAYTo9x73GGJtA,517,"coffee, icecream, juicebars",4.0,['delivery'],$,+19517840800,(951) 784-0800,10388.11873596695,,33.9812579,-117.3727677,3575 University Ave,,,Riverside,92501,US,CA,"['3575 University Ave', 'Riverside, CA 92501']"
3OaMN0FJYDZxHR4AOBm13w,thai-spoon-2-loma-linda,Thai Spoon 2,https://s3-media3.fl.yelpcdn.com/bphoto/JNU7QYdiyKC6qHvFEw32Pw/o.jpg,False,https://www.yelp.com/biz/thai-spoon-2-loma-linda?adjust_creative=MmLrhxyBCAYTo9x73GGJtA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MmLrhxyBCAYTo9x73GGJtA,233,thai,4.0,"['pickup', 'delivery']",$$,+19094780555,(909) 478-0555,8488.90523474762,,34.049425,-117.245734,25596 Barton Rd,,,Loma Linda,92354,US,CA,"['25596 Barton Rd', 'Loma Linda, CA 92354']"
Hfuuv49cXrjlYQh9QREIdA,greensleeves-steakhouse-redlands,Greensleeves Steakhouse,https://s3-media2.fl.yelpcdn.com/bphoto/iShX1HfDpf9Qz63mJfwGrg/o.jpg,False,https://www.yelp.com/biz/greensleeves-steakhouse-redlands?adjust_creative=MmLrhxyBCAYTo9x73GGJtA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MmLrhxyBCAYTo9x73GGJtA,372,"steak, seafood, bars",4.0,"['pickup', 'delivery']",$$$,+19093351752,(909) 335-1752,11782.990578123421,,34.05785,-117.18225,220 Orange St,,,Redlands,92374,US,CA,"['220 Orange St', 'Redlands, CA 92374']"
5UP76FQA7PnNIAcHmtBcoQ,steern-stein-moreno-valley,Steer'n Stein,https://s3-media4.fl.yelpcdn.com/bphoto/gijCwz99UBcqYQRHkAeDJg/o.jpg,False,https://www.yelp.com/biz/steern-stein-moreno-valley?adjust_creative=MmLrhxyBCAYTo9x73GGJtA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MmLrhxyBCAYTo9x73GGJtA,328,"steak, tradamerican",4.0,['delivery'],$$,+19512438799,(951) 243-8799,8512.046833014661,,33.903121,-117.225845,14950 Perris Blvd,,,Moreno Valley,92553,US,CA,"['14950 Perris Blvd', 'Moreno Valley, CA 92553']"
lXBmQkbumc1Dcadvy2eczQ,r-thai-cuisine-loma-linda-2,R Thai Cuisine,https://s3-media2.fl.yelpcdn.com/bphoto/WDWSGbvTH3jvSbeluOwLdA/o.jpg,False,https://www.yelp.com/biz/r-thai-cuisine-loma-linda-2?adjust_creative=MmLrhxyBCAYTo9x73GGJtA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MmLrhxyBCAYTo9x73GGJtA,166,thai,4.5,['delivery'],$,+19093282000,(909) 328-2000,9985.211894664091,,34.062842,-117.244159,25685 Redlands Blvd,Ste B,,Loma Linda,92354,US,CA,"['25685 Redlands Blvd', 'Ste B', 'Loma Linda, CA 92354']"
MvzzwhBgIC8Wu0su58WaOw,369-ramen-and-poke-moreno-valley-3,369 Ramen & Poke,https://s3-media2.fl.yelpcdn.com/bphoto/mQlbK7nScnNWsnSYjqf2Ew/o.jpg,False,https://www.yelp.com/biz/369-ramen-and-poke-moreno-valley-3?adjust_creative=MmLrhxyBCAYTo9x73GGJtA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=MmLrhxyBCAYTo9x73GGJtA,131,"poke, ramen",4.0,"['pickup', 'delivery']",$$,+19513790876,(951) 379-0876,4202.930724132297,,33.93629780010732,-117.26213595487992,12625 Frederick St,Ste I8,,Moreno Valley,92553,US,CA,"['12625 Frederick St', 'Ste I8', 'Moreno Valley, CA 92553']"
