Name,Image,Variation,Body Title,Pattern,Pattern Title,DIY,Body Customize,Pattern Customize,Kit Cost,Kit Type,Buy,Sell,Color 1,Color 2,Exchange Price,Exchange Currency,Size,Source,Source Notes,Season/Event,Season/Event Exclusive,HHA Base Points,HHA Concept 1,HHA Concept 2,HHA Series,HHA Set,HHA Category,Interact,Tag,Outdoor,Lighting Type,Door Deco,Catalog,Version Added,Unlocked?,Filename,Variant ID,Internal ID,Unique Entry ID
autograph cards,,Handprints,NA,Comedian's signature,Signature,No,No,Yes,1,Normal,1400,350,Beige,White,NA,NA,2x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",NA,NA,151,school,den,None,None,None,No,Study,No,No lighting,No,For sale,1.0.0,Yes,FtrAutograph_Remake_1_1,1_1,1899,vwk5njowHf3GkRcFq
autograph cards,,Illustration,NA,Musician's signature,Signature,No,No,Yes,1,Normal,1400,350,Beige,White,NA,NA,2x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",NA,NA,151,school,den,None,None,None,No,Study,No,No lighting,No,For sale,1.0.0,Yes,FtrAutograph_Remake_2_0,2_0,1899,mvuDgsouHqTwejnpx
autograph cards,,Illustration,NA,Comedian's signature,Signature,No,No,Yes,1,Normal,1400,350,Beige,White,NA,NA,2x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",NA,NA,151,school,den,None,None,None,No,Study,No,No lighting,No,For sale,1.0.0,Yes,FtrAutograph_Remake_2_1,2_1,1899,3brxKrQHt4tHAmJ5S
autograph cards,,Words of wisdom,NA,Musician's signature,Signature,No,No,Yes,1,Normal,1400,350,Beige,White,NA,NA,2x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",NA,NA,151,school,den,None,None,None,No,Study,No,No lighting,No,For sale,1.0.0,Yes,FtrAutograph_Remake_3_0,3_0,1899,7c4SDPyoLDewHz9Pg
autograph cards,,Words of wisdom,NA,Comedian's signature,Signature,No,No,Yes,1,Normal,1400,350,Beige,White,NA,NA,2x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",NA,NA,151,school,den,None,None,None,No,Study,No,No lighting,No,For sale,1.0.0,Yes,FtrAutograph_Remake_3_1,3_1,1899,yRB4GuGA6L86EBg5K
bamboo wall decoration,,Green bamboo,Bamboo,NA,NA,Yes,Yes,No,1,Normal,NFS,160,Green,Red,NA,NA,0.5x1,Crafting,,NA,NA,201,harmonious,None,bamboo,None,Plant,No,Plants,No,No lighting,No,Not for sale,1.0.0,Yes,FtrBambooFlowerwall_Remake_0_0,0_0,3558,pbECjLkaDPDQ5dNXp
bamboo wall decoration,,Dried bamboo,Bamboo,NA,NA,Yes,Yes,No,1,Normal,NFS,160,Yellow,Red,NA,NA,0.5x1,Crafting,,NA,NA,201,harmonious,None,bamboo,None,Plant,No,Plants,No,No lighting,No,Not for sale,1.0.0,Yes,FtrBambooFlowerwall_Remake_1_0,1_0,3558,QRLmHZaqguF5iy3hC
bamboo wall decoration,,Smoke-cured bamboo,Bamboo,NA,NA,Yes,Yes,No,1,Normal,NFS,160,Brown,Green,NA,NA,0.5x1,Crafting,,NA,NA,201,harmonious,None,bamboo,None,Plant,No,Plants,No,No lighting,No,Not for sale,1.0.0,Yes,FtrBambooFlowerwall_Remake_2_0,2_0,3558,mNdcYvRwAHytnXPkp
bathroom towel rack,,Silver,NA,NA,NA,No,No,No,NA,None,1400,350,Gray,White,NA,NA,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,NA,NA,151,bathroom,None,None,None,None,No,Bathroom Things,No,No lighting,No,For sale,1.0.0,Yes,FtrTowelrackWall_Remake_0_0,0_0,4030,3mD27HBCBkjy4beMd
bathroom towel rack,,Gold,NA,NA,NA,No,No,No,NA,None,1400,350,Yellow,Brown,NA,NA,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,NA,NA,151,bathroom,None,None,None,None,No,Bathroom Things,No,No lighting,No,For sale,1.0.0,Yes,FtrTowelrackWall_Remake_1_0,1_0,4030,diaLMBMgpNoGW7dmg
bathroom towel rack,,Copper,NA,NA,NA,No,No,No,NA,None,1400,350,Brown,Pink,NA,NA,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,NA,NA,151,bathroom,None,None,None,None,No,Bathroom Things,No,No lighting,No,For sale,1.0.0,Yes,FtrTowelrackWall_Remake_2_0,2_0,4030,WKsy8zDRasXY5xQTt
bathroom towel rack,,Black,NA,NA,NA,No,No,No,NA,None,1400,350,Black,Gray,NA,NA,1x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,NA,NA,151,bathroom,None,None,None,None,No,Bathroom Things,No,No lighting,No,For sale,1.0.0,Yes,FtrTowelrackWall_Remake_3_0,3_0,4030,o9DTtEZtFwAwXyZw2
blue rose wreath,,NA,NA,NA,NA,Yes,No,No,NA,None,NFS,20000,Blue,Blue,NA,NA,1x1,Crafting,,NA,NA,103,fancy,None,flowers,None,None,No,House Door Decor,No,No lighting,Yes,Not for sale,1.0.0,Yes,FtrDoorOrnamentWreathRoseUrtraRare,NA,5772,WAhbxkq89fSuMSSNa
bone doorplate,,Brown,Color,NA,NA,Yes,Yes,No,1,Normal,NFS,360,Brown,Beige,NA,NA,1x1,Crafting,,NA,NA,103,child's room,living room,None,None,None,No,House Door Decor,No,No lighting,Yes,Not for sale,1.0.0,Yes,FtrDoorPlateBone_Remake_0_0,0_0,4751,GWsheTRiG46HjezX3
bone doorplate,,White,Color,NA,NA,Yes,Yes,No,1,Normal,NFS,360,White,Red,NA,NA,1x1,Crafting,,NA,NA,103,child's room,living room,None,None,None,No,House Door Decor,No,No lighting,Yes,Not for sale,1.0.0,Yes,FtrDoorPlateBone_Remake_1_0,1_0,4751,DKpXvEcErego2mzTR
bone doorplate,,Black,Color,NA,NA,Yes,Yes,No,1,Normal,NFS,360,Black,Beige,NA,NA,1x1,Crafting,,NA,NA,103,child's room,living room,None,None,None,No,House Door Decor,No,No lighting,Yes,Not for sale,1.0.0,Yes,FtrDoorPlateBone_Remake_2_0,2_0,4751,NzaREJBzeZgh5Dj8Z
bone doorplate,,Pink,Color,NA,NA,Yes,Yes,No,1,Normal,NFS,360,Pink,Red,NA,NA,1x1,Crafting,,NA,NA,103,child's room,living room,None,None,None,No,House Door Decor,No,No lighting,Yes,Not for sale,1.0.0,Yes,FtrDoorPlateBone_Remake_3_0,3_0,4751,ZWgvwP6XWE92ueBg7
bone doorplate,,Red,Color,NA,NA,Yes,Yes,No,1,Normal,NFS,360,Red,Beige,NA,NA,1x1,Crafting,,NA,NA,103,child's room,living room,None,None,None,No,House Door Decor,No,No lighting,Yes,Not for sale,1.0.0,Yes,FtrDoorPlateBone_Remake_4_0,4_0,4751,srNuKC9nZL6Tq8dCL
bone doorplate,,Yellow,Color,NA,NA,Yes,Yes,No,1,Normal,NFS,360,Yellow,Brown,NA,NA,1x1,Crafting,,NA,NA,103,child's room,living room,None,None,None,No,House Door Decor,No,No lighting,Yes,Not for sale,1.0.0,Yes,FtrDoorPlateBone_Remake_5_0,5_0,4751,zL68LPrwNxepQii85
bone doorplate,,Blue,Color,NA,NA,Yes,Yes,No,1,Normal,NFS,360,Blue,White,NA,NA,1x1,Crafting,,NA,NA,103,child's room,living room,None,None,None,No,House Door Decor,No,No lighting,Yes,Not for sale,1.0.0,Yes,FtrDoorPlateBone_Remake_6_0,6_0,4751,TRnRBfdFBygGPv3To
bone doorplate,,Natural wood,Color,NA,NA,Yes,Yes,No,1,Normal,NFS,360,Beige,Brown,NA,NA,1x1,Crafting,,NA,NA,103,child's room,living room,None,None,None,No,House Door Decor,No,No lighting,Yes,Not for sale,1.0.0,Yes,FtrDoorPlateBone_Remake_7_0,7_0,4751,dpi3G97osXcuEgpQv
boomerang,,Natural,Design,NA,NA,Yes,Yes,No,1,Normal,NFS,360,Brown,Beige,NA,NA,1x0.5,Crafting,,NA,NA,103,child's room,None,None,None,None,No,Toy,No,No lighting,No,Not for sale,1.0.0,Yes,FtrBoomerang_Remake_0_0,0_0,682,ckBkMWTsoQs9DqJyY
boomerang,,Green & orange,Design,NA,NA,Yes,Yes,No,1,Normal,NFS,360,Green,Orange,NA,NA,1x0.5,Crafting,,NA,NA,103,child's room,None,None,None,None,No,Toy,No,No lighting,No,Not for sale,1.0.0,Yes,FtrBoomerang_Remake_1_0,1_0,682,vzCmcxEKbdd3QwJZC
boomerang,,Dark brown,Design,NA,NA,Yes,Yes,No,1,Normal,NFS,360,Brown,Black,NA,NA,1x0.5,Crafting,,NA,NA,103,child's room,None,None,None,None,No,Toy,No,No lighting,No,Not for sale,1.0.0,Yes,FtrBoomerang_Remake_2_0,2_0,682,CDsTmvKkhfAfvRM29
boomerang,,Red & black,Design,NA,NA,Yes,Yes,No,1,Normal,NFS,360,Red,Black,NA,NA,1x0.5,Crafting,,NA,NA,103,child's room,None,None,None,None,No,Toy,No,No lighting,No,Not for sale,1.0.0,Yes,FtrBoomerang_Remake_3_0,3_0,682,gxzuuSAcAGoXWT7gy
boomerang,,White & blue,Design,NA,NA,Yes,Yes,No,1,Normal,NFS,360,White,Aqua,NA,NA,1x0.5,Crafting,,NA,NA,103,child's room,None,None,None,None,No,Toy,No,No lighting,No,Not for sale,1.0.0,Yes,FtrBoomerang_Remake_4_0,4_0,682,FyvCZvwaADP3n5jMt
breaker,,NA,NA,NA,NA,No,No,No,NA,None,820,205,White,Black,NA,NA,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",NA,NA,151,workshop,facility,None,None,Appliance,No,Home Appliances,No,No lighting,No,For sale,1.0.0,Yes,FtrBreaker,NA,875,qkoNJc3xgRsWMkDiy
bronze HHA plaque,,NA,NA,NA,NA,No,No,No,NA,None,NFS,400,Brown,Red,NA,NA,1x1,HHA,,NA,NA,573,living room,expensive,None,None,None,No,Museum,No,No lighting,No,Not for sale,1.0.0,Yes,FtrShieldHhaBronze,NA,7037,PN2tS6ktAtJor7dYQ
broom and dustpan,,Natural,NA,NA,NA,No,No,No,NA,None,910,227,Brown,Gray,NA,NA,1x1.5,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,NA,NA,151,school,None,None,None,None,No,Supplies,No,No lighting,No,For sale,1.0.0,Yes,FtrCleaningset_Remake_0_0,0_0,3967,ng3LSLuHpPTEwNfED
broom and dustpan,,White,NA,NA,NA,No,No,No,NA,None,910,227,White,Gray,NA,NA,1x1.5,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,NA,NA,151,school,None,None,None,None,No,Supplies,No,No lighting,No,For sale,1.0.0,Yes,FtrCleaningset_Remake_1_0,1_0,3967,3XZn5qtRhWhh5J8TH
broom and dustpan,,Dark brown,NA,NA,NA,No,No,No,NA,None,910,227,Brown,Black,NA,NA,1x1.5,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,NA,NA,151,school,None,None,None,None,No,Supplies,No,No lighting,No,For sale,1.0.0,Yes,FtrCleaningset_Remake_2_0,2_0,3967,AP7AP7JTcGdCpkYwA
broom and dustpan,,Colorful,NA,NA,NA,No,No,No,NA,None,910,227,Pink,Brown,NA,NA,1x1.5,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,NA,NA,151,school,None,None,None,None,No,Supplies,No,No lighting,No,For sale,1.0.0,Yes,FtrCleaningset_Remake_3_0,3_0,3967,zbGz5Z3N9daD8vogA
bug plaque,,NA,NA,NA,NA,No,No,No,NA,None,NFS,300,Yellow,Brown,NA,NA,1x1,Blathers,Reward for completing the Stamp Rally in the bug exhibit during International Museum Day,International Museum Day,Yes,0,expensive,den,None,None,None,No,Museum,No,No lighting,No,Not for sale,1.2.0,Yes,FtrMuseumInsectWall,0_0,12485,qpp8eyzBrCe7eFFfg
Bunny Day glowy garland,,NA,NA,NA,NA,Yes,No,No,NA,None,NFS,2400,Colorful,Colorful,NA,NA,2x1,Crafting,,Bunny Day (ready days); Bunny Day,Yes,351,fancy,party,Bunny Day,None,None,Yes,Lamp,No,Emission,No,Not for sale,1.1.0,Yes,FtrEggLampWall,NA,12417,5BcF8Sk7rTzrG3pzr
Bunny Day wall clock,,NA,NA,NA,NA,Yes,No,No,NA,None,NFS,1200,Aqua,Colorful,NA,NA,1x1.5,Crafting,,Bunny Day (ready days); Bunny Day,Yes,351,fancy,None,Bunny Day,None,Clock,Yes,Clock,No,No lighting,No,Not for sale,1.1.0,Yes,FtrEggClock,NA,12418,Tb7KSuoRanow4ekqm
Bunny Day wreath,,NA,NA,NA,NA,Yes,No,No,NA,None,NFS,2400,Colorful,Yellow,NA,NA,1x1,Crafting,,Bunny Day (ready days); Bunny Day,Yes,351,fancy,party,Bunny Day,None,None,No,House Door Decor,No,No lighting,Yes,Not for sale,1.1.0,Yes,FtrDoorOrnamentWreathEaster,NA,12517,4HcJP4W3RFWRSbspS
butterfly-fish model,,NA,NA,NA,NA,No,No,No,NA,None,1300,325,Yellow,Yellow,NA,NA,1x1,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",NA,NA,151,ocean,facility,None,None,None,No,Special Fish,No,No lighting,No,For sale,1.0.0,Yes,FtrFishChouchouuoWall,NA,11182,QgzRi2QqTEcpKac5q
cherry lamp,,Cherry,Fruit type,NA,NA,Yes,Yes,No,4,Normal,NFS,2400,Red,Green,NA,NA,1x1,Crafting,,NA,NA,103,fancy,None,fruits,cherry,Lighting,Yes,Lamp,No,Fluorescent,No,Not for sale,1.0.0,Yes,FtrFruitsLampW_Remake_0_0,0_0,4012,LvZKcdaWM6pSLdxni
cherry lamp,,Black cherry,Fruit type,NA,NA,Yes,Yes,No,4,Normal,NFS,2400,Red,Green,NA,NA,1x1,Crafting,,NA,NA,103,fancy,None,fruits,cherry,Lighting,Yes,Lamp,No,Fluorescent,No,Not for sale,1.0.0,Yes,FtrFruitsLampW_Remake_1_0,1_0,4012,NWu6WpRu8MpRXPwii
cherry-blossom clock,,Pink,Color,NA,NA,Yes,Yes,No,4,Normal,NFS,2750,Pink,Pink,NA,NA,1x1,Crafting,,cherry-blossom petals,Yes,201,fancy,None,cherry blossoms,None,Clock,Yes,Clock,No,No lighting,No,Not for sale,1.0.0,Yes,FtrSakuraClockW_Remake_0_0,0_0,6832,tb9y9v6vrf98WExq7
cherry-blossom clock,,Pink-white,Color,NA,NA,Yes,Yes,No,4,Normal,NFS,2750,Pink,White,NA,NA,1x1,Crafting,,cherry-blossom petals,Yes,201,fancy,None,cherry blossoms,None,Clock,Yes,Clock,No,No lighting,No,Not for sale,1.0.0,Yes,FtrSakuraClockW_Remake_1_0,1_0,6832,iw6Qpmkn6qEaenEtP
chic cosmos wreath,,NA,NA,NA,NA,Yes,No,No,NA,None,NFS,4800,Black,Black,NA,NA,1x1,Crafting,,NA,NA,103,fancy,None,flowers,None,None,No,House Door Decor,No,No lighting,Yes,Not for sale,1.0.0,Yes,FtrDoorOrnamentWreathCosmosRare,NA,5764,DgLEZbDS2BsJ59K78
chic windflower wreath,,NA,NA,NA,NA,Yes,No,No,NA,None,NFS,4800,Purple,Purple,NA,NA,1x1,Crafting,,NA,NA,103,fancy,None,flowers,None,None,No,House Door Decor,No,No lighting,Yes,Not for sale,1.0.0,Yes,FtrDoorOrnamentWreathAnemoneRare,NA,5765,tBJvNsSQvk8ajonsT
coconut wall planter,,NA,NA,NA,NA,Yes,No,No,NA,None,NFS,600,Green,Beige,NA,NA,1x1.5,Crafting,,NA,NA,103,ocean,living room,None,None,Plant,No,Plants,No,No lighting,No,Not for sale,1.0.0,Yes,FtrPlanterPalm,NA,4130,wsXGBE5N9NwenYTRj
cool hyacinth wreath,,NA,NA,NA,NA,Yes,No,No,NA,None,NFS,1440,Blue,Orange,NA,NA,1x1,Crafting,,NA,NA,103,fancy,None,flowers,None,None,No,House Door Decor,No,No lighting,Yes,Not for sale,1.0.0,Yes,FtrDoorOrnamentWreathHyacinthMix,NA,5750,MLMnpWFmufqDeg479
cool pansy wreath,,NA,NA,NA,NA,Yes,No,No,NA,None,NFS,4800,Purple,Purple,NA,NA,1x1,Crafting,,NA,NA,103,fancy,None,flowers,None,None,No,House Door Decor,No,No lighting,Yes,Not for sale,1.0.0,Yes,FtrDoorOrnamentWreathPansyRare,NA,5767,wS4t24ixhhAnsRXFB
cool windflower wreath,,NA,NA,NA,NA,Yes,No,No,NA,None,NFS,1200,Blue,Blue,NA,NA,1x1,Crafting,,NA,NA,103,fancy,None,flowers,None,None,No,House Door Decor,No,No lighting,Yes,Not for sale,1.0.0,Yes,FtrDoorOrnamentWreathAnemoneMix,NA,5746,uZT5wfceZaKMP2nZZ
corkboard,,Natural,NA,Apple,Favorite card,No,No,Yes,1,Normal,1400,350,Beige,Red,NA,NA,2x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,NA,NA,151,school,office,None,None,None,No,Study,No,No lighting,No,For sale,1.0.0,Yes,FtrCorkboard_Remake_0_0,0_0,1783,5QL4Epdhwtt3e6CKB
corkboard,,Natural,NA,Fish,Favorite card,No,No,Yes,1,Normal,1400,350,Beige,Blue,NA,NA,2x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,NA,NA,151,school,office,None,None,None,No,Study,No,No lighting,No,For sale,1.0.0,Yes,FtrCorkboard_Remake_0_1,0_1,1783,QBTmJYYjs9Bjx9fvz
corkboard,,Natural,NA,Flower,Favorite card,No,No,Yes,1,Normal,1400,350,Beige,Green,NA,NA,2x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,NA,NA,151,school,office,None,None,None,No,Study,No,No lighting,No,For sale,1.0.0,Yes,FtrCorkboard_Remake_0_2,0_2,1783,eFDwvWFJb58YycAWt
corkboard,,White,NA,Apple,Favorite card,No,No,Yes,1,Normal,1400,350,White,Red,NA,NA,2x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,NA,NA,151,school,office,None,None,None,No,Study,No,No lighting,No,For sale,1.0.0,Yes,FtrCorkboard_Remake_1_0,1_0,1783,X5PSeoz28t2QeLAGP
corkboard,,White,NA,Fish,Favorite card,No,No,Yes,1,Normal,1400,350,White,Blue,NA,NA,2x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,NA,NA,151,school,office,None,None,None,No,Study,No,No lighting,No,For sale,1.0.0,Yes,FtrCorkboard_Remake_1_1,1_1,1783,hgrWYxMGDRWqqfi8b
corkboard,,White,NA,Flower,Favorite card,No,No,Yes,1,Normal,1400,350,White,Green,NA,NA,2x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,NA,NA,151,school,office,None,None,None,No,Study,No,No lighting,No,For sale,1.0.0,Yes,FtrCorkboard_Remake_1_2,1_2,1783,agfCPzRF4syht7Csc
corkboard,,Blue,NA,Apple,Favorite card,No,No,Yes,1,Normal,1400,350,Blue,Red,NA,NA,2x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,NA,NA,151,school,office,None,None,None,No,Study,No,No lighting,No,For sale,1.0.0,Yes,FtrCorkboard_Remake_2_0,2_0,1783,sKaJPMQLFip2xCpPu
corkboard,,Blue,NA,Fish,Favorite card,No,No,Yes,1,Normal,1400,350,Blue,Blue,NA,NA,2x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,NA,NA,151,school,office,None,None,None,No,Study,No,No lighting,No,For sale,1.0.0,Yes,FtrCorkboard_Remake_2_1,2_1,1783,iFndpQ9FzRBbK2X2Q
corkboard,,Blue,NA,Flower,Favorite card,No,No,Yes,1,Normal,1400,350,Blue,Green,NA,NA,2x1,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,NA,NA,151,school,office,None,None,None,No,Study,No,No lighting,No,For sale,1.0.0,Yes,FtrCorkboard_Remake_2_2,2_2,1783,4FxH2Zhn3mdW3vAvv
cosmos wreath,,NA,NA,NA,NA,Yes,No,No,NA,None,NFS,720,Red,Yellow,NA,NA,1x1,Crafting,,NA,NA,103,fancy,None,flowers,None,None,No,House Door Decor,No,No lighting,Yes,Not for sale,1.0.0,Yes,FtrDoorOrnamentWreathCosmos,NA,4293,Jb4w7uvb9QhGerC3Z
crest doorplate,,Silver,Color,NA,NA,Yes,Yes,No,1,Normal,NFS,3000,Gray,Black,NA,NA,1x1,Crafting,,NA,NA,103,expensive,None,None,None,None,No,House Door Decor,No,No lighting,Yes,Not for sale,1.0.0,Yes,FtrDoorOrnamentCrest_Remake_0_0,0_0,5717,iE8G3C8jdhexkkY8c
crest doorplate,,Gold & silver,Color,NA,NA,Yes,Yes,No,1,Normal,NFS,3000,Yellow,Gray,NA,NA,1x1,Crafting,,NA,NA,103,expensive,None,None,None,None,No,House Door Decor,No,No lighting,Yes,Not for sale,1.0.0,Yes,FtrDoorOrnamentCrest_Remake_1_0,1_0,5717,aGewHTksfKfJW2MY8
crest doorplate,,Silver & blue,Color,NA,NA,Yes,Yes,No,1,Normal,NFS,3000,Gray,Blue,NA,NA,1x1,Crafting,,NA,NA,103,expensive,None,None,None,None,No,House Door Decor,No,No lighting,Yes,Not for sale,1.0.0,Yes,FtrDoorOrnamentCrest_Remake_2_0,2_0,5717,7G5TyTF9wcH7n5wbH
crest doorplate,,Red & white,Color,NA,NA,Yes,Yes,No,1,Normal,NFS,3000,Red,White,NA,NA,1x1,Crafting,,NA,NA,103,expensive,None,None,None,None,No,House Door Decor,No,No lighting,Yes,Not for sale,1.0.0,Yes,FtrDoorOrnamentCrest_Remake_3_0,3_0,5717,Hf2jaoLX7JMRduSvR
crest doorplate,,Silver & green,Color,NA,NA,Yes,Yes,No,1,Normal,NFS,3000,Gray,Green,NA,NA,1x1,Crafting,,NA,NA,103,expensive,None,None,None,None,No,House Door Decor,No,No lighting,Yes,Not for sale,1.0.0,Yes,FtrDoorOrnamentCrest_Remake_4_0,4_0,5717,62E5Y2ZJ4Z6PoWGdT
crest doorplate,,Colorful,Color,NA,NA,Yes,Yes,No,1,Normal,NFS,3000,Colorful,White,NA,NA,1x1,Crafting,,NA,NA,103,expensive,None,None,None,None,No,House Door Decor,No,No lighting,Yes,Not for sale,1.0.0,Yes,FtrDoorOrnamentCrest_Remake_5_0,5_0,5717,4kY54jHig2i2Cp5S9
