Name,Type,Version Added,Version Last Updated,Year,Dates (Northern Hemisphere),Dates (Southern Hemisphere),Availability,Northern Hemisphere Dates,Southern Hemisphere Dates,2020 Dates,2021 Dates,Display Name,Internal Label,Unlock Date,Unlock Method,Unique Entry ID
Shōgatsu (2),Nook Shopping event,1.6.0,1.6.0,2021,January 1 – January 15,January 1 – January 15,Specific years,NA,NA,NA,January 1 – January 15,New Year's Day,RegionNewYear2,2021-01-01,NTP,Yvq5mrsjYX9HBBoN2
Shōgatsu (3),Nook Shopping event,1.6.0,1.6.0,2021,January 1 – January 15,January 1 – January 15,Specific years,NA,NA,NA,January 1 – January 15,New Year's Day,RegionNewYear3,2021-01-01,NTP,j6XM3Bsw5vtskwub2
New Year's Day (Russia),Nook Shopping event,1.6.0,1.6.0,2021,January 1 – January 15,January 1 – January 15,Specific years,NA,NA,NA,January 1 – January 15,New Year's Day,RoshiaNewYear,2021-01-01,NTP,7tSXFbSyGohRqRcAd
New Year's Day (World),Nook Shopping event,1.6.0,1.6.0,2021,January 1 – January 15,January 1 – January 15,Specific years,NA,NA,NA,January 1 – January 15,New Year's Day,WorldNewYear,2021-01-01,NTP,s9EY4eT28FvMq4MmR
New Year's Day (Korea),Nook Shopping event,1.6.0,1.6.0,2021,January 1 – January 15,January 1 – January 15,Specific years,NA,NA,NA,January 1 – January 15,New Year's Day,KoreaNewYear,2021-01-01,NTP,9sayQ8ZTXonPimMf2
New Year's Day (Asia),Nook Shopping event,1.6.0,1.6.0,2021,January 1 – January 15,January 1 – January 15,Specific years,NA,NA,NA,January 1 – January 15,New Year's Day,ChinaNewYear,2021-01-01,NTP,PnPBujYf6ztitFX7F
Festivale (ready days),Special event,1.7.0,1.7.0,2021,February 1 – February 14,February 1 – February 14,Specific years,NA,NA,NA,February 1 – February 14,Festivale,Carnival,2021-01-28,No,F7bzc2pLevmboA8DF
Festivale,Special event,1.7.0,1.7.0,2021,February 15,February 15,Specific years,NA,NA,NA,February 15,Festivale,Carnival,2021-02-14,BCAT (a),FvssW626ddQ3aLQFd
Valentine's Day,Special event,1.7.0,1.7.0,2021,February 14,February 14,Specific years,NA,NA,NA,February 14,Valentine's Day,Valentine,2021-02-14,BCAT (a),wFQawZsWKLnDfSjjN
Groundhog Day,Nook Shopping event,1.7.0,1.7.0,2021,January 25 – February 2,January 25 – February 2,Specific years,NA,NA,NA,January 25 – February 2,Groundhog Day,GroundhogDay,2021-01-28,NTP,y9Bn4GYZPnMEoBgfB
Setsubun,Nook Shopping event,1.7.0,1.7.0,2021,January 25 – February 3,January 25 – February 3,Specific years,NA,NA,NA,January 25 – February 3,Setsubun,Setsubun,2021-01-28,NTP,JanWTpqgkvHZzetxk
Setsubun (Able Sisters),Shopping season,1.7.0,1.7.0,Any,February 1 – February 3,February 1 – February 3,Every year,February 1 – February 3,February 1 – February 3,NA,NA,Setsubun,NA,2021-01-28,No,kFoAs7RfGYzw62LLt
Big Game Celebration (1),Nook Shopping event,1.7.0,1.7.0,2021,January 15 – February 15,January 15 – February 15,Specific years,NA,NA,NA,January 15 – February 15,Big Game Celebration,RegionBigGame,2021-01-28,NTP,cxbGFKdkmqFsskvuj
Big Game Celebration (2),Nook Shopping event,1.7.0,1.7.0,2021,January 15 – February 15,January 15 – February 15,Specific years,NA,NA,NA,January 15 – February 15,Big Game Celebration,RegionBigGame2,2021-01-28,NTP,EPBKFGfCaW9bEAZan
Valentine's Day (Nook Shopping),Nook Shopping event,1.7.0,1.7.0,2021,February 1 – February 14,February 1 – February 14,Specific years,NA,NA,NA,February 1 – February 14,Valentine's Day,RegionValentine,2021-02-01,NTP,scq9e4MNaxBDnzdsf
Lunar New Year,Nook Shopping event,1.7.0,1.7.0,2021,February 10 – February 17,February 10 – February 17,Specific years,NA,NA,NA,February 10 – February 17,Lunar New Year,RegionLunarNewYearAsia,2021-02-10,NTP,GrhL6oc4Fikexi9mE
Seollal,Nook Shopping event,1.7.0,1.7.0,2021,February 10 – February 17,February 10 – February 17,Specific years,NA,NA,NA,February 10 – February 17,Lunar New Year,RegionLunarNewYearKR,2021-02-10,NTP,i36Hq5eemLtYtg8x4
Hinamatsuri,Nook Shopping event,1.8.0,1.8.0,2021,February 25 – March 3,February 25 – March 3,Specific years,NA,NA,NA,February 25 – March 3,Hinamatsuri,RegionHinamatsuri,2021-02-25,NTP,nca8hecauJyrMuTe6
Super Mario Bros.,Nook Shopping event,1.8.0,1.8.0,2021,March 1 – December 31,March 1 – December 31,Specific years,NA,NA,NA,March 1 – December 31,Super Mario Bros.,MarioCollaboration,2021-03-01,BCAT (a),2TaNitnLqDtXr9SQK
π Day,Nook Shopping event,1.8.0,1.8.0,2021,March 1 – March 14,March 1 – March 14,Specific years,NA,NA,NA,March 1 – March 14,π Day,RegionPiDay,2021-03-01,NTP,atSCGTvcdHq2EKNfy
Shamrock Day,Nook Shopping event,1.8.0,1.8.0,2021,March 10 – March 17,March 10 – March 17,Specific years,NA,NA,NA,March 10 – March 17,Shamrock Day,RegionShamrockDay,2021-03-10,NTP,zZcYX6kijYEszM3u8
Shamrock Day (Able Sisters),Shopping season,1.8.0,1.8.0,Any,March 10 – March 17,March 10 – March 17,Every year,March 10 – March 17,March 10 – March 17,NA,NA,Shamrock Day,NA,2021-01-28,No,CQeFs5yEfzL3kFdhp
April Fools' Day,Nook Shopping event,1.9.0,1.9.0,2021,March 26 – April 1,March 26 – April 1,Specific years,NA,NA,NA,March 26 – April 1,April Fools' Day,RegionAprilFool,2021-03-26,NTP,PQbKAS4Jt7mWpBBxx
Singmogil,Nook Shopping event,1.9.0,1.9.0,2021,April 1 – April 10,April 1 – April 10,Specific years,NA,NA,NA,April 1 – April 10,Singmogil,RegionTreeDay,2021-04-01,NTP,33Y77jAzMCTuwH2Dq
Prom (1),Nook Shopping event,1.9.0,1.9.0,2021,April 1 – April 30,April 1 – April 30,Specific years,NA,NA,NA,April 1 – April 30,Prom,RegionProm,2021-04-01,NTP,GEpYcBtjkvLTEahT4
Prom (2),Nook Shopping event,1.9.0,1.9.0,2021,April 1 – April 30,April 1 – April 30,Specific years,NA,NA,NA,April 1 – April 30,Prom,RegionProm2,2021-04-01,NTP,LQZH8ucChbLZn79gS
Prom (Able Sisters),Shopping season,1.9.0,1.9.0,Any,April 1 – April 30,April 1 – April 30,Every year,April 1 – April 30,April 1 – April 30,NA,NA,Prom,NA,2021-03-18,No,9cNxPyHeSSrSRFfTw
Nature Day (Nook Shopping),Nook Shopping event,1.9.0,1.9.0,2021,April 15 – April 22,April 15 – April 22,Specific years,NA,NA,NA,April 15 – April 22,Nature Day,RegionEarthDay,2021-04-15,NTP,SwxjFbKbQzaP5t4xC
