Name,Image,Image SH,#1,Material 1,#2,Material 2,#3,Material 3,#4,Material 4,#5,Material 5,#6,Material 6,Buy,Sell,Exchange Price,Exchange Currency,Source,Source Notes,Season/Event,Season/Event Exclusive,Version Added,Unlocked?,Recipes to Unlock,Category,Crafted Item Internal ID,Card Color,DIY Icon Filename,DIY Icon Filename SH,Serial ID,Internal ID,Unique Entry ID
autumn wall,,NA,10,maple leaf,5,wood,5,clump of weeds,,,,,,,NFS,200,NA,NA,Balloons,,maple leaves,Yes,1.0.0,Yes,0,Wallpaper,4905,brown,RoomSpWallAutumun00,NA,4650,290,vjyWT27sydFDoYjhF
axe,,NA,1,flimsy axe,3,wood,1,iron nugget,,,,,,,NFS,200,NA,NA,Pretty Good Tools Recipes,Purchase Pretty Good Tools Recipes via Nook Miles Redemption,NA,NA,1.0.0,Yes,0,Tools,2100,beige,ToolAxe,NA,102,271,b3QE9sXE7w5KCXkS5
backyard lawn,,NA,30,clump of weeds,,,,,,,,,,,NFS,200,NA,NA,Peppy villagers,,NA,NA,1.0.0,Yes,0,Floors,4979,green,RoomTexFloorLawn00,NA,1261,487,pCoJi3w8hqsWKsBvz
bamboo basket,,NA,7,bamboo piece,,,,,,,,,,,NFS,200,NA,NA,Snooty villagers,,NA,NA,1.0.0,Yes,50,Housewares,3658,green,FtrBambooBasket,NA,2409,152,y7Zjyax97JJo6k4oJ
bamboo bench,,NA,8,bamboo piece,,,,,,,,,,,NFS,200,NA,NA,Normal villagers,,NA,NA,1.0.0,Yes,50,Housewares,710,green,FtrBambooChairL,NA,2401,46,iRBcw227DDdksTz3J
bamboo candleholder,,NA,3,bamboo piece,2,clay,,,,,,,,,NFS,200,NA,NA,Snooty villagers,,NA,NA,1.0.0,Yes,50,Miscellaneous,3554,green,FtrBambooCandle,NA,2402,153,9FCcnLSsxLXkR2NEA
bamboo doll,,NA,6,young spring bamboo,,,,,,,,,,,NFS,200,NA,NA,Balloons,,young spring bamboo,Yes,1.0.0,Yes,0,Housewares,3555,green,FtrBambooSurprisedbox,NA,3000,158,gc6yP5HuqTxEGBK48
bamboo drum,,NA,3,bamboo piece,2,softwood,,,,,,,,,NFS,200,NA,NA,Jock villagers,,NA,NA,1.0.0,Yes,50,Miscellaneous,4093,green,FtrBamboodrum,NA,2413,397,K5pwygoJtxAXbj7db
bamboo floor lamp,,NA,8,bamboo piece,,,,,,,,,,,NFS,200,NA,NA,Normal villagers,,NA,NA,1.0.0,Yes,50,Housewares,3557,green,FtrBambooLamp,NA,2410,159,47AeakgHNdNvSvLRb
bamboo flooring,,NA,15,bamboo piece,,,,,,,,,,,NFS,200,NA,NA,Cranky villagers,,NA,NA,1.0.0,Yes,50,Floors,4964,green,RoomTexFloorBamboo00,NA,2460,485,JyK3oMGwWg46SZ7M6
bamboo hat,,NA,10,clump of weeds,,,,,,,,,,,NFS,200,NA,NA,Cranky villagers,,NA,NA,1.0.0,Yes,0,Equipment,5143,green,CapHatAjiroBeige,NA,1284,607,p6dWvgRwv6574A7md
bamboo lattice fence,,NA,6,bamboo piece,,,,,,,,,,,NFS,200,1000,Nook Miles,Nook Miles Redemption,,NA,NA,1.0.0,Yes,0,Other,3403,green,ItemFenceBamboo,NA,2490,101,kFi2XW9eoPkAoWdS5
bamboo lunch box,,NA,4,bamboo piece,,,,,,,,,,,NFS,200,NA,NA,Snooty villagers,,NA,NA,1.0.0,Yes,50,Miscellaneous,5978,green,FtrBambooLunch,NA,2406,421,ejw8RfXvq8vPJuLod
bamboo noodle slide,,NA,7,young spring bamboo,3,wood,,,,,,,,,NFS,200,NA,NA,Balloons; Isabelle,,young spring bamboo,Yes,1.0.0,Yes,0,Housewares,5979,green,FtrBambooSomen,NA,3002,424,P9SmzDkYdcYuPmRop
bamboo partition,,NA,7,bamboo piece,6,stone,,,,,,,,,NFS,200,NA,NA,Cranky villagers,,NA,NA,1.0.0,Yes,50,Housewares,3553,green,FtrBambooScreen,NA,2403,157,6B3A3RrMHHYeGnDR4
bamboo shelf,,NA,15,bamboo piece,,,,,,,,,,,NFS,200,NA,NA,Snooty villagers,,NA,NA,1.0.0,Yes,50,Housewares,3551,green,FtrBambooShelf,NA,2405,155,ATFSAKswogCggcGbd
bamboo speaker,,NA,3,bamboo piece,1,iron nugget,,,,,,,,,NFS,200,NA,NA,Snooty villagers,,NA,NA,1.0.0,Yes,50,Housewares,10743,green,FtrBambooMusic,NA,2411,591,59rwk7hPFaeWEX7AY
bamboo sphere,,NA,3,bamboo piece,,,,,,,,,,,NFS,200,NA,NA,Normal villagers,,NA,NA,1.0.0,Yes,50,Miscellaneous,5976,green,FtrBambooBall,NA,2404,420,4DSiABqB4KvShtQdM
bamboo stool,,NA,5,bamboo piece,,,,,,,,,,,NFS,200,NA,NA,Snooty villagers,,NA,NA,1.0.0,Yes,50,Housewares,10742,green,FtrBambooStool,NA,2400,590,cSywc8qQTGtF5PTqT
bamboo stopblock,,NA,3,bamboo piece,,,,,,,,,,,NFS,200,NA,NA,Jock villagers,,NA,NA,1.0.0,Yes,50,Housewares,3556,green,FtrBambooCarstop,NA,2412,154,g6cSM6je3YN47KiMD
bamboo wall,,NA,15,bamboo piece,,,,,,,,,,,NFS,200,NA,NA,Cranky villagers,,NA,NA,1.0.0,Yes,50,Wallpaper,4833,green,RoomTexWallBamboo00,NA,2450,322,BYCNmo3a3HZQXWqHK
bamboo wall decoration,,NA,1,bamboo piece,,,,,,,,,,,NFS,200,NA,NA,Jock villagers,,NA,NA,1.0.0,Yes,50,Wall-mounted,3558,green,FtrBambooFlowerwall,NA,2430,151,Xb2ywJv5tsDeSKG2H
bamboo wand,,NA,6,young spring bamboo,3,star fragment,,,,,,,,,NFS,200,NA,NA,Balloons,,young spring bamboo,Yes,1.0.0,Yes,0,Tools,7590,green,ToolStickBamboo,NA,3090,538,Z5FSewP6wM2McqRCJ
bamboo-grove wall,,NA,7,young spring bamboo,3,bamboo shoot,,,,,,,,,NFS,200,NA,NA,Balloons,,young spring bamboo,Yes,1.0.0,Yes,0,Wallpaper,4853,green,RoomTexWallChikurin00,NA,3051,300,YEqTcFmBecj7pp4XX
bamboo-shoot lamp,,NA,4,young spring bamboo,5,bamboo shoot,4,clay,,,,,,,NFS,200,NA,NA,Balloons,,young spring bamboo,Yes,1.0.0,Yes,0,Miscellaneous,5977,green,FtrBambooshootLamp,NA,3004,385,kdfzcoLwkhis8mbtR
barbed-wire fence,,NA,4,hardwood,2,iron nugget,,,,,,,,,NFS,200,1000,Nook Miles,Nook Miles Redemption,,NA,NA,1.0.0,Yes,0,Other,5213,brown,ItemFenceBarbedWire,NA,585,561,dgW8J3q4JWsyyrDxP
barbell,,NA,10,iron nugget,,,,,,,,,,,NFS,200,NA,NA,Jock villagers,,NA,NA,1.0.0,Yes,0,Housewares,4078,dark gray,FtrBarbell,NA,914,395,A3fKpbNzYnRZwYMbx
barrel,,NA,5,wood,2,iron nugget,,,,,,,,,NFS,200,NA,NA,Cranky villagers; Tom Nook,50% chance of being obtained during the main storyline during the villager house development quest,NA,NA,1.0.0,Yes,0,Housewares,1266,brown,FtrPirateBarrel,NA,431,165,QBxsHQZ8DpGYE7d8S
basement flooring,,NA,10,stone,,,,,,,,,,,NFS,200,NA,NA,Smug villagers,,NA,NA,1.0.0,Yes,0,Floors,4797,light gray,RoomTexFloorBasement00,NA,855,474,RdpaWYGrZLzQWtKDJ
basket pack,,NA,6,young spring bamboo,,,,,,,,,,,NFS,200,NA,NA,Balloons,,young spring bamboo,Yes,1.0.0,Yes,0,Equipment,7506,green,BagBackpackBasket0,NA,3080,645,j2a3p7Gtpy8fW2Z5S
beekeeper's hive,,NA,3,wasp nest,5,wood,,,,,,,,,NFS,200,NA,NA,Jock villagers,,NA,NA,1.0.0,Yes,0,Housewares,3406,orange,FtrBeekeepingbox,NA,2000,204,nxtm2DdtRcHzAyrZX
big festive tree,,NA,6,red ornament,6,blue ornament,4,gold ornament,5,wood,5,clay,,,NFS,200,NA,NA,Balloons,,ornaments,Yes,1.0.0,Yes,0,Housewares,3966,white,FtrTreeXmasL,NA,7404,273,xArzFHH3vK5tq4r6y
birdbath,,NA,6,stone,,,,,,,,,,,NFS,200,NA,NA,Snooty villagers; Tom Nook,50% chance of being obtained during the main storyline during the villager house development quest,NA,NA,1.0.0,Yes,0,Housewares,331,light gray,FtrBirdbus,NA,802,42,73BAmDLcYdhSDnHLR
birdcage,,NA,8,wood,,,,,,,,,,,NFS,200,NA,NA,Big Sister villagers,,NA,NA,1.0.0,Yes,0,Housewares,865,brown,FtrBirdcage,NA,404,216,Dm56HseZexdC2ctda
birdhouse,,NA,2,wood,5,softwood,,,,,,,,,NFS,200,NA,NA,Peppy villagers; Tom Nook,,NA,NA,1.0.0,Yes,0,Housewares,333,brown,FtrBirdhouse,NA,435,41,cDe3r9tficCbWgmH4
blossom-viewing lantern,,NA,6,cherry-blossom petal,4,hardwood,,,,,,,,,NFS,200,NA,NA,Balloons,,cherry-blossom petals,Yes,1.0.0,Yes,0,Housewares,6831,pink,FtrSakuraLantern,NA,3404,427,7dxFMY3pjTmv4D3QX
blue rose crown,,NA,6,blue roses,,,,,,,,,,,NFS,200,NA,NA,All villagers,,NA,NA,1.0.0,Yes,200,Equipment,7377,green,CapOrnamentRose4,NA,8215,459,5oscGctPhHbHFeSHY
blue rose wreath,,NA,10,blue roses,,,,,,,,,,,NFS,200,NA,NA,All villagers,,NA,NA,1.0.0,Yes,200,Wall-mounted,5772,green,FtrDoorOrnamentWreathRoseUrtraRare,NA,7855,447,XbGbAr5htMNb6h4mr
bone doorplate,,NA,3,softwood,,,,,,,,,,,NFS,200,NA,NA,Lazy villagers,,NA,NA,1.0.0,Yes,50,Wall-mounted,4751,brown,FtrDoorPlateBone,NA,500,467,jbvhjbWecrky57s9e
bonfire,,NA,1,campfire,10,wood,,,,,,,,,NFS,200,NA,NA,Cranky villagers; Tom Nook,,NA,NA,1.0.0,Yes,0,Housewares,1430,brown,FtrCampfire,NA,201,34,JxApKgoud4gfvEcwk
bonsai shelf,,NA,1,cherry-blossom bonsai,1,pine bonsai tree,8,wood,,,,,,,NFS,200,NA,NA,Cranky villagers,,NA,NA,1.0.0,Yes,100,Housewares,3580,brown,FtrBonsaiShelf,NA,437,593,ybNj2deAkSr4AkbXf
boomerang,,NA,3,hardwood,,,,,,,,,,,NFS,200,NA,NA,Lazy villagers,,NA,NA,1.0.0,Yes,50,Wall-mounted,682,brown,FtrBoomerang,NA,481,171,rMasSCDby69z84Fai
brick fence,,NA,6,clay,,,,,,,,,,,NFS,200,1000,Nook Miles,Nook Miles Redemption,,NA,NA,1.0.0,Yes,0,Other,3080,brick,ItemFenceWallRenga,NA,770,99,F7bg775Kh6niY7gcZ
brick oven,,NA,8,clay,2,iron nugget,6,wood,,,,,,,NFS,200,NA,NA,Wildest Dreams DIY,Purchase Wildest Dreams DIY from Nook's Cranny,NA,NA,1.0.0,Yes,0,Housewares,1157,brick,FtrStoneoven,NA,706,58,HKzfxMGvbz6Xhni9E
brick well,,NA,8,clay,5,wood,1,flimsy shovel,,,,,,,NFS,200,2000,Nook Miles,Nook Miles Redemption,,NA,NA,1.0.0,Yes,0,Housewares,3776,brick,FtrWellBrick,NA,707,408,MZhaSK4GZ9D3jkRMw
bridge construction kit,,NA,4,log stakes,4,clay,4,stone,,,,,,,NFS,200,NA,NA,Tom Nook,Obtained during the main storyline,NA,NA,1.0.0,Yes,0,Other,7211,NA,BridgeLogReserveKit,NA,1,458,5aMdJ9fqw3nFtTSYR
brown herringbone wall,,NA,15,softwood,,,,,,,,,,,NFS,200,NA,NA,Big Sister villagers,,NA,NA,1.0.0,Yes,0,Wallpaper,4804,brown,RoomTexWallHerringbone00,NA,524,312,YXiuGMDZmkG7wbuQn
Bunny Day arch,,NA,2,earth egg,2,stone egg,2,leaf egg,2,wood egg,2,sky egg,2,water egg,NFS,200,NA,NA,Zipper,Reward from Zipper after collecting all 6 egg types,Bunny Day,Yes,1.1.0,Yes,0,Housewares,12398,yellow,FtrEggArch,NA,8608,695,LnuCzHYJaAs4HNMdm
Bunny Day bag,,NA,1,earth egg,1,stone egg,1,leaf egg,1,wood egg,1,sky egg,1,water egg,NFS,200,NA,NA,All villagers,,Bunny Day (ready days); Bunny Day,Yes,1.1.0,Yes,0,Equipment,12447,yellow,BagBackpackEgg0,NA,8681,694,9njGw9d2nxaB5RiGR
Bunny Day bed,,NA,1,earth egg,1,stone egg,1,leaf egg,1,wood egg,1,sky egg,1,water egg,NFS,200,NA,NA,Egg bottle; Egg balloon,,Bunny Day (ready days); Bunny Day,Yes,1.1.0,Yes,0,Housewares,12414,yellow,FtrEggBedW,NA,8604,698,FiJ85ZKnHbkjNQ7FF
Bunny Day crown,,NA,1,earth egg,1,stone egg,1,leaf egg,1,wood egg,1,sky egg,1,water egg,NFS,200,NA,NA,All villagers,,Bunny Day (ready days); Bunny Day,Yes,1.1.0,Yes,0,Equipment,12445,yellow,CapOrnamentCEgg0,NA,8680,693,ARB6gWR7MFyiPoP3b
Bunny Day fence,,NA,1,earth egg,1,stone egg,1,leaf egg,1,wood egg,1,sky egg,1,water egg,NFS,200,NA,NA,Egg bottle; Egg balloon,,Bunny Day (ready days); Bunny Day,Yes,1.1.0,Yes,0,Other,12630,yellow,ItemFenceEgg,NA,8690,712,4Kdig9tWPTr4Xx6Kv
Bunny Day festive balloons,,NA,1,stone egg,1,wood egg,1,water egg,,,,,,,NFS,200,NA,NA,Egg bottle; Egg balloon,,Bunny Day (ready days); Bunny Day,Yes,1.1.0,Yes,0,Housewares,12421,yellow,FtrEggBalloonB,NA,8607,704,gSFqr84aRRt85bwzj
Bunny Day flooring,,NA,2,earth egg,2,stone egg,2,leaf egg,2,wood egg,2,sky egg,2,water egg,NFS,200,NA,NA,Egg bottle; Egg balloon,,Bunny Day (ready days); Bunny Day,Yes,1.1.0,Yes,0,Floors,12423,yellow,RoomTexFloorEaster00,NA,8651,710,niHGKnTgXRGTbpEwc
Bunny Day glowy garland,,NA,1,earth egg,1,stone egg,1,leaf egg,1,wood egg,1,sky egg,1,water egg,NFS,200,NA,NA,Egg bottle; Egg balloon,,Bunny Day (ready days); Bunny Day,Yes,1.1.0,Yes,0,Wall-mounted,12417,yellow,FtrEggLampWall,NA,8631,700,o4dxxDMeguMH8zQzx
Bunny Day lamp,,NA,4,wood egg,,,,,,,,,,,NFS,200,NA,NA,Egg bottle; Egg balloon,,Bunny Day (ready days); Bunny Day,Yes,1.1.0,Yes,0,Miscellaneous,12413,yellow,FtrEggLamp,NA,8605,697,aJAmvizpFhDespKHb
Bunny Day merry balloons,,NA,1,earth egg,1,leaf egg,1,sky egg,,,,,,,NFS,200,NA,NA,Egg bottle; Egg balloon,,Bunny Day (ready days); Bunny Day,Yes,1.1.0,Yes,0,Housewares,12419,yellow,FtrEggBalloonA,NA,8606,702,8JL8MamAW5zYTfT3J
Bunny Day rug,,NA,1,earth egg,1,stone egg,1,leaf egg,1,wood egg,1,sky egg,1,water egg,NFS,200,NA,NA,Egg bottle; Egg balloon,,Bunny Day (ready days); Bunny Day,Yes,1.1.0,Yes,0,Rugs,7546,yellow,RugOtherEasterM00,NA,8652,709,qhQxRtRZztg72hh23
Bunny Day stool,,NA,3,water egg,,,,,,,,,,,NFS,200,NA,NA,Egg bottle; Egg balloon,,Bunny Day (ready days); Bunny Day,Yes,1.1.0,Yes,0,Housewares,12415,yellow,FtrEggStool,NA,8600,699,wa4bcffdYLswPfJ2B
Bunny Day table,,NA,4,earth egg,,,,,,,,,,,NFS,200,NA,NA,Egg bottle; Egg balloon,,Bunny Day (ready days); Bunny Day,Yes,1.1.0,Yes,0,Housewares,12436,yellow,FtrEggTableS,NA,8601,705,9aQh9Qrq3vpQdqueu
Bunny Day vanity,,NA,4,leaf egg,,,,,,,,,,,NFS,200,NA,NA,Egg bottle; Egg balloon,,Bunny Day (ready days); Bunny Day,Yes,1.1.0,Yes,0,Housewares,12420,yellow,FtrEggDresser,NA,8603,703,NnTWBXepctfiLMjnL
Bunny Day wall,,NA,2,earth egg,2,stone egg,2,leaf egg,2,wood egg,2,sky egg,2,water egg,NFS,200,NA,NA,Egg bottle; Egg balloon,,Bunny Day (ready days); Bunny Day,Yes,1.1.0,Yes,0,Wallpaper,5231,yellow,RoomTexWallEaster00,NA,8650,708,fJWKvdNQwBqRaKjsz
Bunny Day wall clock,,NA,3,sky egg,,,,,,,,,,,NFS,200,NA,NA,Egg bottle; Egg balloon,,Bunny Day (ready days); Bunny Day,Yes,1.1.0,Yes,0,Wall-mounted,12418,yellow,FtrEggClock,NA,8630,701,CYdX8kEStsmMXX96v
Bunny Day wand,,NA,1,wobbling Zipper toy,3,star fragment,,,,,,,,,NFS,200,NA,NA,Zipper,Reward from Zipper after crafting wobbling Zipper toy,Bunny Day,Yes,1.1.0,Yes,0,Tools,12578,yellow,ToolStickEgg,NA,8691,711,ySsGKkX7k5TFeytzQ
Bunny Day wardrobe,,NA,4,stone egg,,,,,,,,,,,NFS,200,NA,NA,Egg bottle; Egg balloon,,Bunny Day (ready days); Bunny Day,Yes,1.1.0,Yes,0,Housewares,12437,yellow,FtrEggClosetLR,NA,8602,706,CNAhe3aeGYQ22Q7LG
Bunny Day wreath,,NA,1,earth egg,1,stone egg,1,leaf egg,1,wood egg,1,sky egg,1,water egg,NFS,200,NA,NA,Egg bottle; Egg balloon,,Bunny Day (ready days); Bunny Day,Yes,1.1.0,Yes,0,Wall-mounted,12517,yellow,FtrDoorOrnamentWreathEaster,NA,8640,707,296Ws5ikbL8hMv3ZC
butter churn,,NA,4,wood,2,iron nugget,,,,,,,,,NFS,200,NA,NA,Snooty villagers,,NA,NA,1.0.0,Yes,0,Housewares,7805,brown,FtrButtermixer,NA,433,508,zAPyFGPvmSTCdivgm
cabin wall,,NA,15,hardwood,,,,,,,,,,,NFS,200,NA,NA,Peppy villagers,,NA,NA,1.0.0,Yes,0,Wallpaper,4840,brown,RoomTexWallLog00,NA,527,315,vYePWAqNbmHCX2n7u
campfire,,NA,3,tree branch,,,,,,,,,,,NFS,200,NA,NA,Tom Nook,Obtained from Tom Nook after completing his DIY Workshop at the beginning of the game,NA,NA,1.0.0,Yes,0,Housewares,1429,brown,FtrBonfire,NA,200,13,YDCiZFYQHNweKWYcz
campsite construction kit,,NA,15,wood,15,softwood,15,hardwood,15,iron nugget,,,,,NFS,200,NA,NA,Tom Nook,Obtained during the main storyline,NA,NA,1.0.0,Yes,0,Other,5166,NA,CampsiteReserveKit,NA,1,461,r2Hct8GMigwWDdwc8
Cancer table,,NA,3,star fragment,2,Cancer fragment,2,gold nugget,3,stone,,,,,NFS,200,NA,NA,Celeste,,Cancer,Yes,1.0.0,Yes,0,Housewares,5959,silver,FtrZodiacCancer,NA,2303,371,FvH6DXMtKuuXbmRdS
Capricorn ornament,,NA,3,star fragment,2,Capricorn fragment,2,gold nugget,12,stone,,,,,NFS,200,NA,NA,Celeste,,Capricorn,Yes,1.0.0,Yes,0,Housewares,5957,silver,FtrZodiacCapricornus,NA,2309,370,WzAvFzPD5oa7ZijeY
cardboard bed,,NA,4,cardboard box,,,,,,,,,,,NFS,200,NA,NA,Lazy villagers,,NA,NA,1.0.0,Yes,0,Housewares,7161,yellow,FtrCardboardBedS,NA,2133,497,egMT9pGzXF4tW2TcQ
cardboard chair,,NA,1,cardboard box,,,,,,,,,,,NFS,200,NA,NA,Lazy villagers,,NA,NA,1.0.0,Yes,0,Housewares,7163,yellow,FtrCardboardChairS,NA,2130,498,keFZfoTQf5ShhZn7b
cardboard sofa,,NA,2,cardboard box,,,,,,,,,,,NFS,200,NA,NA,Peppy villagers,,NA,NA,1.0.0,Yes,0,Housewares,7159,yellow,FtrCardboardSofaL,NA,2131,500,XfuFR6TygpGsHECLn
cardboard table,,NA,4,cardboard box,,,,,,,,,,,NFS,200,NA,NA,Peppy villagers,,NA,NA,1.0.0,Yes,0,Housewares,7160,yellow,FtrCardboardTableL,NA,2132,496,nXCaiKb8ZKtRdFrps
cherry dress,,NA,8,cherry,,,,,,,,,,,NFS,200,NA,NA,Peppy villagers,,NA,NA,1.0.0,Yes,100,Equipment,9838,yellow,TopsTexOnepieceAlineNCherry0,NA,1482,612,XeA7zE2nkf38vLXR2
cherry hat,,NA,5,cherry,,,,,,,,,,,NFS,200,NA,NA,Peppy villagers,,NA,NA,1.0.0,Yes,100,Equipment,9873,yellow,CapHatCherry0,NA,1481,613,t7SsbKgRAa6GWgjR8
cherry lamp,,NA,10,cherry,2,clay,,,,,,,,,NFS,200,NA,NA,Peppy villagers; Tom Nook,Obtained during the main storyline during the villager house development quest if the native fruit is cherries,NA,NA,1.0.0,Yes,100,Wall-mounted,4012,yellow,FtrFruitsLampW,NA,1430,162,6hBjge6rn7Sxd5sr7
cherry rug,,NA,6,cherry,,,,,,,,,,,NFS,200,NA,NA,Peppy villagers,,NA,NA,1.0.0,Yes,100,Rugs,7328,yellow,RugOtherCherryM00,NA,1470,543,pMnYDcm7v9cjAdLj2
cherry speakers,,NA,10,cherry,2,iron nugget,,,,,,,,,NFS,200,NA,NA,Peppy villagers; Tom Nook,Obtained during the main storyline during the villager house development quest if the native fruit is cherries,NA,NA,1.0.0,Yes,100,Miscellaneous,4011,yellow,FtrFruitsMusic,NA,1400,161,TtSKEhTt2uf2P9Mcj
cherry umbrella,,NA,7,cherry,,,,,,,,,,,NFS,200,NA,NA,Peppy villagers,,NA,NA,1.0.0,Yes,100,Equipment,9949,yellow,UmbrellaCherry0,NA,1480,614,pKzsdzbBmNX3hZd7R
cherry wall,,NA,20,cherry,,,,,,,,,,,NFS,200,NA,NA,Peppy villagers,,NA,NA,1.0.0,Yes,100,Wallpaper,4919,yellow,RoomTexWallCherry00,NA,1450,307,c4EyTmXti6TusMbGF
cherry-blossom bonsai,,NA,6,cherry-blossom petal,2,hardwood,3,clump of weeds,3,clay,,,,,NFS,200,NA,NA,Balloons,,cherry-blossom petals,Yes,1.0.0,Yes,0,Miscellaneous,6030,pink,FtrBonsaiSakura,NA,3401,375,ToGQibiXb4sB3pT7B
cherry-blossom branches,,NA,8,cherry-blossom petal,4,tree branch,5,clay,,,,,,,NFS,200,NA,NA,Balloons,,cherry-blossom petals,Yes,1.0.0,Yes,0,Housewares,6031,pink,FtrSakuraBranch,NA,3402,419,6P3zgNBfKCc3vZxjJ
cherry-blossom clock,,NA,5,cherry-blossom petal,1,iron nugget,,,,,,,,,NFS,200,NA,NA,Balloons,,cherry-blossom petals,Yes,1.0.0,Yes,0,Wall-mounted,6832,pink,FtrSakuraClockW,NA,3430,426,9kPKbzAAQzJTu9758
cherry-blossom flooring,,NA,10,cherry-blossom petal,20,clump of weeds,,,,,,,,,NFS,200,NA,NA,Balloons,,cherry-blossom petals,Yes,1.0.0,Yes,0,Floors,7204,pink,RoomTexFloorSakura00,NA,3460,479,Bthw6qsrWMxRp4L2J
cherry-blossom pochette,,NA,6,cherry-blossom petal,,,,,,,,,,,NFS,200,NA,NA,Balloons,,cherry-blossom petals,Yes,1.0.0,Yes,0,Equipment,7490,pink,BagShoulderCherryblossoms0,NA,3481,630,vh9iLeDKLo3LR8T4G
cherry-blossom pond stone,,NA,10,stone,3,cherry-blossom petal,,,,,,,,,NFS,200,NA,NA,Balloons,,cherry-blossom petals,Yes,1.0.0,Yes,0,Housewares,7409,light gray,FtrStonewaterbowlSakura,NA,820,511,5kPZxufBzifksrFoK
cherry-blossom umbrella,,NA,7,cherry-blossom petal,,,,,,,,,,,NFS,200,NA,NA,Balloons,,cherry-blossom petals,Yes,1.0.0,Yes,0,Equipment,9945,pink,UmbrellaCherryblossom0,NA,3480,629,Ss2QnC4nP26NFyexM
